v1,speaker,domint,topic1,topic2,frame,gainloss,debate,hc_segtype,hc_funct,hc_meme,hc_memtyp,hc_memint,hc_interpt,hc_success,hc_intype,hc_visinter,hc_visuccess,hc_intmod,hc_modtype,hc_nonflu,hc_putdown,hc_attone,hc_fetone,hc_hrtone,hc_lookat2,hc_brush1,hc_nvdis1,hc_look,hc_eyebrow,hc_atface,hc_feface,hc_hrface,hc_saface,hc_neuface,hc_inapprop,hc_affgest,hc_defgest,hc_nvsub,hc_agentic,hc_commun,hc_waveoff,hc_nvtic1,hc_nvtic2,hc_nvtic3,hc_nvtic4,hc_nvtic5,hc_nvtic6,dt_segtype,dt_funct,dt_meme,dt_memtyp,dt_memint,dt_interpt,dt_success,dt_intype,dt_visinter,dt_visuccess,dt_intmod,dt_modtype,dt_nonflu,dt_putdown,dt_attone,dt_fetone,dt_hrtone,dt_lookat2,dt_brush1,dt_nvdis1,dt_lookat3,dt_eyebrow,dt_atface,dt_feface,dt_hrface,dt_saface,dt_neuface,dt_inapprop,dt_affgest,dt_defgest,dt_nvsub,dt_agentic,dt_commun,dt_waveoff,dt_nvtic1,dt_nvtic2,dt_nvtic3,dt_nvtic4,dt_nvtic5,dt_nvtic6,hc_blame,dt_blame,i,they,sixltr,hc_6ltr,hc_i,hc_they,hc_ithey_mean,hc_ithey,dt_6ltr,dt_i,dt_they,dt_ithey_mean,dt_ithey,tweet_vol,trump_vol,clinton_vol,mention_diff_vol,dt_interruptions,hc_interruptions,hc_angry,dt_angry,trump_vol_arf1,clinton_vol_arf1,DT_POPTOT,HC_POPTOT,hc_blame2,dt_blame2,hc_anger,dt_anger,DT_POPTOT10,HC_POPTOT10,HC_ATONE2,HC_AFACE2,HC_DGEST2,HC_NVDIS2,HC_INAPPRO2,HC_INTYPE2,HC_NONFLU2,HC_PUTD2,DT_ATONE2,DT_AFACE2,DT_DGEST2,DT_NVDIS2,DT_INAPPRO2,DT_INTYPE2,DT_NONFLU2,DT_PUTD2,HC_POP_VIS,DT_POP_VIS,HC_POP_TON,DT_POP_TON,HC_POP_VER,DT_POP_VER,HC_POP_VER2,DT_POP_VER2
134,0,1,33,34,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.0299625,-0.0827715,0,0,28,0,0,0,1.320899,-1.320899,0,0,0,2.101816,-2.101816,7276,5594,2271,3323,0,0,0,0,-1086.942,-567.2443,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
135,1,1,33,1,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,-0.0299625,-0.0827715,10.81,0,13.51,13.51,10.81,0,1.320899,9.489101,0,0,0,2.101816,-2.101816,6703,4985,2170,2815,0,0,0,10,-259.6127,56.00047,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
136,0,1,33,1,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,1,1,2,0,0,0,,0,0,1,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,-0.0299625,-0.0827715,0,0,22.73,0,0,0,1.320899,-1.320899,0,0,0,2.101816,-2.101816,7056,5157,2332,2825,1,0,0,2,375.3917,204.2725,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,2,0,0,0,0
137,0,1,33,1,3,0,1,1,3,1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,1,1,2,0,0,0,,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,-0.0299625,-0.0827715,2.38,0,16.67,0,0,0,1.320899,-1.320899,0,0,0,2.101816,-2.101816,8535,6237,2811,3426,1,0,1,2,1070.345,454.8238,4,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,2,0,0,0,0
138,1,1,33,,3,,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,1,1,2,0,0,1,6,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,-0.0299625,-0.0827715,5.71,0,8.57,8.57,5.71,0,1.320899,4.389101,0,0,0,2.101816,-2.101816,9057,6467,3103,3364,1,0,1,1,-1.966951,210.1272,4,2,0,0,0,0,4,2,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,3,1,1,1,0,1,0
139,1,1,33,1,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,1,1,2,0,0,0,,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0299625,-0.0827715,0,4.17,12.5,12.5,0,4.17,1.320899,2.849101,0,0,0,2.101816,-2.101816,9258,6618,3180,3438,1,0,1,0,113.4895,42.45717,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0
140,1,1,33,1,3,,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0299625,-0.0827715,6.25,0,12.5,12.5,6.25,0,1.320899,4.929101,0,0,0,2.101816,-2.101816,8833,6321,3067,3254,0,0,1,0,-284.4686,-89.6237,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
141,1,1,1,15,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.0299625,-0.0827715,0,13.04,21.74,21.74,0,13.04,1.320899,11.7191,0,0,0,2.101816,-2.101816,8464,6103,2867,3236,0,0,1,0,-92.42916,-131.1118,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
142,0,1,13,1,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,-0.0299625,-0.0827715,0,0,14.29,0,0,0,1.320899,-1.320899,0,0,0,2.101816,-2.101816,9247,6728,3053,3675,0,0,1,0,737.9566,271.2065,1,2,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
143,2,1,1,15,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.0299625,-0.0827715,0,0,15,0,0,0,1.320899,-1.320899,15,0,0,2.101816,-2.101816,10083,7442,3247,4195,0,0,2,0,634.7457,204.9812,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
